'y-axis saved as y
'x,216-1hr_Gd-Ru-Ge.xy,Ycalc,Diff
15.08996,638,612.095493,25.9045067
15.10027,669,611.52982,57.4701798
15.11058,713,610.965383,102.034617
15.12088,653,610.402726,42.5972744
15.13119,646,609.840756,36.1592438
15.1415,657,609.280021,47.7199789
15.15181,659,608.720521,50.2794794
15.16212,718,608.162255,109.837745
15.17242,661,607.605765,53.3942352
15.18273,699,607.04997,91.95003
15.19304,692,606.495413,85.5045871
15.20335,643,605.942095,37.0579053
15.21365,693,605.390552,87.6094482
15.22396,662,604.839715,57.1602849
15.23427,713,604.290123,108.709877
15.24458,629,603.741776,25.2582235
15.25489,685,603.194679,81.8053207
15.26519,621,602.649363,18.3506374
15.2755,648,602.10477,45.8952299
15.28581,721,601.561435,119.438565
15.29612,666,601.01936,64.9806395
15.30643,665,600.47855,64.5214498
15.31673,656,599.93953,56.0604695
15.32704,684,599.401258,84.5987415
15.33735,657,598.864262,58.1357377
15.34766,640,598.328546,41.6714536
15.35797,644,597.794115,46.2058849
15.36827,703,597.26149,105.73851
15.37858,640,596.729641,43.2703589
15.38889,697,596.199092,100.800908
15.3992,642,595.669848,46.330152
15.4095,666,595.142426,70.8575739
15.41981,639,594.615808,44.384192
15.43012,656,594.090513,61.9094875
15.44043,682,593.566546,88.433454
15.45074,641,593.043915,47.956085
15.46104,649,592.523131,56.4768687
15.47135,658,592.003191,65.9968092
15.48166,676,591.484607,84.515393
15.49197,735,590.967387,144.032613
15.50228,623,590.45154,32.54846
15.51258,685,589.937571,95.0624288
15.52289,641,589.424491,51.5755087
15.5332,660,588.912809,71.0871913
15.54351,633,588.402532,44.5974678
15.55382,709,587.893671,121.106329
15.56412,696,587.386727,108.613273
15.57443,668,586.880724,81.1192759
15.58474,632,586.376166,45.6238335
15.59505,635,585.873064,49.1269357
15.60536,651,585.371428,65.6285715
15.61566,668,584.871755,83.1282454
15.62597,677,584.373084,92.6269162
15.63628,651,583.875914,67.1240861
15.64659,626,583.380257,42.6197428
15.65689,669,582.886605,86.1133951
15.6672,592,582.394011,9.60598862
15.67751,616,581.90297,34.0970298
15.68782,640,581.413495,58.5865047
15.69813,642,580.925601,61.0743991
15.70843,593,580.439773,12.5602271
15.71874,599,579.955083,19.044917
15.72905,619,579.47202,39.5279804
15.73936,616,578.990599,37.0094011
15.74967,641,578.510838,62.4891621
15.75997,688,578.033217,109.966783
15.77028,603,577.556826,25.4431739
15.78059,565,577.082149,-12.082149
15.7909,621,576.609205,44.3907951
15.80121,634,576.138014,57.8619862
15.81151,612,575.669051,36.3309489
15.82182,611,575.201428,35.7985723
15.83213,641,574.735623,66.2643773
15.84244,570,574.27166,-4.2716601
15.85274,611,573.810013,37.1899868
15.86305,605,573.349814,31.6501863
15.87336,605,572.891545,32.1084553
15.88367,578,572.435254,5.56474585
15.89398,565,571.981102,-6.98110249
15.90428,618,571.529187,46.4708132
15.91459,613,571.078636,41.9213642
15.9249,509,570.630124,-61.6301239
15.93521,623,570.183681,52.816319
15.94552,578,569.739338,8.26066163
15.95582,650,569.297556,80.702444
15.96613,597,568.857509,28.1424907
15.97644,588,568.419663,19.5803372
15.98675,620,567.984052,52.0159476
15.99706,566,567.550715,-1.55071525
